"","active_from","active_to","birth_date","college","height","name","position","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg%","NBA_fg_per_game","NBA_fga_per_game","NBA_ft%","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg"
"48",2010,2018,"August 23","Los Angeles","6-0","Darren Collison","G","175","2.2",0.392,0.9,0.516,0.472,4.7,9.9,0.855,2.4,2.8,631,12.7,2.7,0.435,1.2,0,8.3,0.475,4,0.851,2.9,2.5
"49",1993,1997,"October 17","University of Southern Mississippi","6-8","Joe Courtney","F","235","0.0",0.667,0,0.437,0.433,1.1,2.6,0.633,0.5,0.8,96,2.8,0,0,0,0,4.7,0.462,2.2,0.685,1.5,1
"50",2011,2018,"October 23","Xavier University","6-4","Jordan Crawford","G","195","3.7",0.318,1.2,0.464,0.411,4.6,11.2,0.826,1.9,2.3,279,12.3,4.4,0.384,1.7,0,12.4,0.455,5.6,0.765,3.3,2.6
"51",1981,1997,"September 3","University of Detroit Mercy","6-9","Earl Cureton","F-C","210","0.0",0,0,0.473,0.473,2.3,4.8,0.538,0.8,1.5,674,5.4,0,0,0,0,0,0,0,NA,NA,NA
"52",2014,2017,"August 23","Duke University","6-2","Seth Curry","G","185","3.7",0.432,1.6,0.573,0.473,3.7,7.9,0.844,1.1,1.3,118,10.2,5.9,0.394,2.3,0,11.2,0.431,4.8,0.827,3.5,2.9
"53",2000,2012,"April 13","Los Angeles","6-3","Baron Davis","G","209","5.0",0.32,1.6,0.465,0.409,5.9,14.3,0.711,2.8,3.9,835,16.1,3.1,0.328,1,0,9.7,0.503,4.9,0.631,4.5,2.9
"54",1996,2000,"April 26","Texas Tech University","6-7","Mark Davis","G-F","210","0.5",0.246,0.1,0.455,0.442,2.1,4.7,0.655,1.2,1.9,230,5.5,2,0.325,0.6,0,13.3,0.497,6.6,0.639,6.3,4
"55",1984,1988,"November 30","Los Angeles","6-8","Darren Daye","F-G","220","0.1",0.118,0,0.491,0.491,2.6,5.3,0.681,1.6,2.4,328,6.8,0,0,0,0,7.1,0.555,4,0.648,3.3,2.1
"56",1992,1999,"April 6","University of Arizona","6-9","Bison Dele","F-C","235","0.0",0.143,0,0.528,0.528,4.5,8.5,0.691,2,2.9,413,11,0,0,0,0,8.4,0.594,5,0.691,3.5,2.4
"57",2003,2008,"September 16","Gonzaga University","6-0","Dan Dickau","G","190","1.8",0.341,0.6,0.46,0.401,2,5.1,0.831,1.2,1.4,300,5.8,4.8,0.462,2.2,0,8.7,0.451,3.9,0.854,3.8,3.3
"58",2010,2017,"March 16","Florida State University","6-2","Toney Douglas","G","195","3.2",0.354,1.1,0.486,0.404,2.8,6.9,0.824,1,1.2,394,7.6,4.9,0.376,1.8,0,12.9,0.442,5.7,0.802,4.4,3.6
"59",1987,1997,"November 7","University of Kansas","7-1","Greg Dreiling","C","250","0.0",0.333,0,0.469,0.467,0.8,1.7,0.649,0.6,0.8,474,2.1,0,0,0,0,7.3,0.568,4.1,0.731,3.4,2.5
"60",1983,1993,"January 24","Los Angeles","7-4","Mark Eaton","C","275","0.0",0,0,0.458,0.458,2.4,5.2,0.649,1.2,1.9,875,6,0,0,0,0,1.6,0.449,0.7,0.409,0.7,0.3
"61",1996,2001,"February 14","Los Angeles","5-10","Tyus Edney","G","152","0.9",0.322,0.3,0.428,0.405,2.6,6.4,0.806,2.2,2.7,226,7.6,2,0.383,0.8,0,8.1,0.481,3.9,0.805,4.5,3.6
"62",1992,1996,"April 28","Syracuse University","6-9","LeRon Ellis","F-C","225","0.0",NA,0,0.433,0.433,1.2,2.8,0.613,0.6,1,91,3,0.2,0.286,0,0,7.6,0.497,3.8,0.615,3.1,1.9
"63",2003,2014,"May 2","Fresno","6-10","Melvin Ely","C","260","0.0",0,0,0.46,0.46,2.1,4.5,0.625,1.1,1.8,375,5.3,0,0.333,0,0,11,0.577,6.4,0.648,4.6,3
"64",1983,1988,"March 1","University of Wyoming","6-11","Chris Engler","C","245","0.0",NA,0,0.411,0.411,0.7,1.7,0.677,0.3,0.5,195,1.8,0,0,0,0,6,0.541,3.2,0.727,1.7,1.2
